i: 1, phase: 0, wave: 0
i: 2, phase: 0.11519173, wave: 0.11493715
i: 3, phase: 0.23038346, wave: 0.22835086
i: 4, phase: 0.34557518, wave: 0.3387379
i: 5, phase: 0.4607669, wave: 0.44463518
i: 6, phase: 0.5759586, wave: 0.544639
i: 7, phase: 0.6911503, wave: 0.63742393
i: 8, phase: 0.806342, wave: 0.72176015
i: 9, phase: 0.9215337, wave: 0.7965298
i: 10, phase: 1.0367254, wave: 0.860742
i: 11, phase: 1.1519171, wave: 0.91354537
i: 12, phase: 1.2671088, wave: 0.95424026
i: 13, phase: 1.3823005, wave: 0.9822872
i: 14, phase: 1.4974922, wave: 0.99731445
i: 15, phase: 1.6126839, wave: 0.99912286
i: 16, phase: 1.7278756, wave: 0.9876884
i: 17, phase: 1.8430673, wave: 0.96316266
i: 18, phase: 1.958259, wave: 0.9258708
i: 19, phase: 2.0734508, wave: 0.87630683
i: 20, phase: 2.1886425, wave: 0.815128
i: 21, phase: 2.3038342, wave: 0.7431451
i: 22, phase: 2.419026, wave: 0.66131216
i: 23, phase: 2.5342176, wave: 0.57071394
i: 24, phase: 2.6494093, wave: 0.47255123
i: 25, phase: 2.764601, wave: 0.36812505
i: 26, phase: 2.8797927, wave: 0.2588196
i: 27, phase: 2.9949844, wave: 0.14608362
i: 28, phase: 3.110176, wave: 0.0314114
i: 29, phase: 3.2253678, wave: -0.08367717
i: 30, phase: 3.3405595, wave: -0.19765665
i: 31, phase: 3.4557512, wave: -0.3090163
i: 32, phase: 3.5709429, wave: -0.4162801
i: 33, phase: 3.6861346, wave: -0.51802635
i: 34, phase: 3.8013263, wave: -0.6129064
i: 35, phase: 3.916518, wave: -0.69966274
i: 36, phase: 4.0317097, wave: -0.7771454
i: 37, phase: 4.1469016, wave: -0.84432757
i: 38, phase: 4.2620935, wave: -0.90031856
i: 39, phase: 4.3772855, wave: -0.9443763
i: 40, phase: 4.4924774, wave: -0.97591674
i: 41, phase: 4.6076694, wave: -0.9945219
i: 42, phase: 4.7228613, wave: -0.99994516
i: 43, phase: 4.838053, wave: -0.9921146
i: 44, phase: 4.953245, wave: -0.9711341
i: 45, phase: 5.068437, wave: -0.93728167
i: 46, phase: 5.183629, wave: -0.891006
i: 47, phase: 5.298821, wave: -0.8329205
i: 48, phase: 5.414013, wave: -0.763795
i: 49, phase: 5.529205, wave: -0.6845458
i: 50, phase: 5.644397, wave: -0.5962233
i: 51, phase: 5.7595887, wave: -0.4999981
i: 52, phase: 5.8747807, wave: -0.3971457
i: 53, phase: 5.9899726, wave: -0.2890293
i: 54, phase: 6.1051645, wave: -0.17708199
i: 55, phase: 6.2203565, wave: -0.06278752
i: 56, phase: 0.05236292, wave: 0.052338995
i: 57, phase: 0.16755465, wave: 0.16677174
i: 58, phase: 0.28274637, wave: 0.27899402
i: 59, phase: 0.3979381, wave: 0.38751838
i: 60, phase: 0.51312983, wave: 0.4909064
i: 61, phase: 0.6283215, wave: 0.5877877
i: 62, phase: 0.7435132, wave: 0.67687815
i: 63, phase: 0.8587049, wave: 0.756997
i: 64, phase: 0.9738966, wave: 0.8270822
i: 65, phase: 1.0890883, wave: 0.8862049
i: 66, phase: 1.20428, wave: 0.9335814
i: 67, phase: 1.3194717, wave: 0.9685839
i: 68, phase: 1.4346634, wave: 0.9907482
i: 69, phase: 1.5498551, wave: 0.9997807
i: 70, phase: 1.6650468, wave: 0.9955617
i: 71, phase: 1.7802385, wave: 0.97814703
i: 72, phase: 1.8954302, wave: 0.94776756
i: 73, phase: 2.010622, wave: 0.9048259
i: 74, phase: 2.1258137, wave: 0.84989125
i: 75, phase: 2.2410054, wave: 0.7836918
i: 76, phase: 2.356197, wave: 0.7071049
i: 77, phase: 2.4713888, wave: 0.6211457
i: 78, phase: 2.5865805, wave: 0.52695364
i: 79, phase: 2.7017722, wave: 0.425777
i: 80, phase: 2.816964, wave: 0.31895694
i: 81, phase: 2.9321556, wave: 0.20790929
i: 82, phase: 3.0473473, wave: 0.09410589
i: 83, phase: 3.162539, wave: -0.02094482
i: 84, phase: 3.2777307, wave: -0.13571791
i: 85, phase: 3.3929224, wave: -0.24869215
i: 86, phase: 3.508114, wave: -0.3583701
i: 87, phase: 3.6233058, wave: -0.46329805
i: 88, phase: 3.7384975, wave: -0.5620852
i: 89, phase: 3.8536892, wave: -0.6534223
i: 90, phase: 3.968881, wave: -0.7360985
i: 91, phase: 4.0840726, wave: -0.80901825
i: 92, phase: 4.1992645, wave: -0.871215
i: 93, phase: 4.3144565, wave: -0.92186415
i: 94, phase: 4.4296484, wave: -0.9602944
i: 95, phase: 4.5448403, wave: -0.98599654
i: 96, phase: 4.6600323, wave: -0.9986297
i: 97, phase: 4.775224, wave: -0.9980265
i: 98, phase: 4.890416, wave: -0.984195
i: 99, phase: 5.005608, wave: -0.9573184
